"table_schema,""table_name"",""column_name"",""data_type"""
"public,""coordinates"",""kursus_id"",""character"""
"public,""coordinates"",""term"",""character varying"""
"public,""coordinates"",""name"",""character varying"""
"public,""course_at_year"",""term"",""text"""
"public,""course_at_year"",""coursename"",""character varying"""
"public,""course_at_year"",""description"",""text"""
"public,""course_at_year"",""faculty_kuh"",""text"""
"public,""course_at_year"",""institute"",""text"""
"public,""course_at_year"",""ects_kuh"",""text"""
"public,""course_at_year"",""url_kuh"",""text"""
"public,""course_at_year"",""exam"",""text"""
"public,""course_at_year"",""re_exam"",""text"""
"public,""course_at_year"",""code_kuh"",""text"""
"public,""course_at_year"",""url_kuc"",""text"""
"public,""course_at_year"",""volume"",""text"""
"public,""course_at_year"",""education"",""text"""
"public,""course_at_year"",""content"",""text"""
"public,""course_at_year"",""learning_outcome"",""text"""
"public,""course_at_year"",""literature"",""text"""
"public,""course_at_year"",""recommended_prereq"",""text"""
"public,""course_at_year"",""teaching_methods"",""text"""
"public,""course_at_year"",""workload"",""text"""
"public,""course_at_year"",""feedback_form"",""text"""
"public,""course_at_year"",""signup"",""text"""
"public,""course_at_year"",""exam_html"",""text"""
"public,""course_at_year"",""language"",""text"""
"public,""course_at_year"",""course_code"",""text"""
"public,""course_at_year"",""ects_kuc"",""text"""
"public,""course_at_year"",""level"",""text"""
"public,""course_at_year"",""duration"",""text"""
"public,""course_at_year"",""placement"",""text"""
"public,""course_at_year"",""blok"",""character"""
"public,""course_at_year"",""capacity"",""text"""
"public,""course_at_year"",""study_board"",""text"""
"public,""course_at_year"",""department"",""text"""
"public,""course_at_year"",""faculty_kuc"",""text"""
"public,""course_at_year"",""course_coordinators"",""text"""
"public,""course_at_year"",""last_modified"",""text"""
"public,""course_at_year"",""kursus_id"",""character"""
"public,""course_at_year"",""year"",""integer"""
"public,""course_coordinator"",""name"",""character varying"""
"public,""courses"",""kursus_id"",""character"""
"public,""courses"",""coursename"",""character varying"""
"public,""courses"",""description"",""text"""
"public,""courses"",""latest_year"",""integer"""
"public,""rating"",""ku_id"",""character"""
"public,""rating"",""kursus_id"",""character"""
"public,""rating"",""term"",""character varying"""
"public,""rating"",""time_stamp"",""date"""
"public,""rating"",""score"",""integer"""
"public,""rating"",""comment"",""character varying"""
"public,""users"",""ku_id"",""character"""
"public,""users"",""username"",""character"""
